Head	Relation	Tail	Head_des	Tail_des	Relation_des	Head_viz	Tail_viz
can_tho	co_dac_san	banh_cong	"C?n Th? là m?t thành ph? tr?c thu?c trung ??ng c?a Vi?t Nam, là thành ph? hi?n ??i và phát tri?n nh?t ? ??ng b?ng sông C?u Long, C?n Th? hi?n là ?ô th? lo?i I, là trung tâm kinh t?, v?n hóa, xã h?i, y t? và giáo d?c c?a vùng ??ng b?ng sông C?u Long, là thành ph? trung tâm c?p vùng và c?p qu?c gia cùng v?i ?à N?ng, H?i Phòng."	"?n m?t l?n nh? mãi không quên là t? mà nh?ng ng??i sau khi ?n bánh c?ng miêu t?. V? bánh vàng óng, giòn r?m. Nhân bánh có ??u xanh, tôm, th?t b?m. Bánh ???c bày lên m?t l?p rau xanh, thêm chút ?t và cà chua trang trí vô cùng b?t m?t. ?ây ???c xem nh? ??c s?n C?n Th? thu hút nhi?u du khách nh?t. Bánh ?n giòn giòn, th?m th?m, kèm chung v?i rau di?p cá, ??t xoài, xà lách, húng qu?, ch?m lên n??c m?m ?t d?a chua ???c làm s?n, h??ng v? ph?i nói là kh?i chê."	có ??c s?n	C?n Th?	Bánh c?ng
an_giang	toa_lac_tai	dong_bang_song_cuu_long	"An Giang là m?t t?nh thu?c vùng ??ng b?ng sông C?u Long, Vi?t Nam. An Giang là t?nh có dân s? ?ông nh?t ??ng b?ng sông C?u Long, thu?c mi?n Nam Vi?t Nam. M?t ph?n c?a An Giang n?m trong t? giác Long Xuyên."	"Vùng ??ng b?ng sông C?u Long là vùng c?c nam c?a Vi?t Nam, m?t trong hai ph?n c?a Nam B?, còn ???c g?i là Vùng ??ng b?ng sông Mê Kông, Vùng ??ng b?ng Nam B?, Vùng Tây Nam B?, C?u Long ho?c theo cách g?i c?a ng??i dân Vi?t Nam ng?n g?n là Mi?n Tây, có 1 thành ph? tr?c thu?c trung ??ng là thành ph? C?n Th? và 12 t?nh: Long An, Ti?n Giang, B?n Tre, V?nh Long, Trà Vinh, H?u Giang, Sóc Tr?ng, ??ng Tháp, An Giang, Kiên Giang, B?c Liêu và Cà Mau."	t?a l?c t?i	An Giang	??ng b?ng sông C?u Long
binh_dinh	toa_lac_tai	duyen_hai_nam_trung_bo	"Bình ??nh (Hán t?: ??) là m?t t?nh thu?c vùng duyên h?i Nam Trung B? Vi?t Nam. T?nh l? c?a Bình ??nh là thành ph? c?ng Quy Nh?n n?m cách th? ?ô Hà N?i 1.070 km v? phía Nam, cách thành ph? ?à N?ng 233 km v? phía Nam và cách Thành ph? H? Chí Minh 652 km v? phía B?c theo ???ng Qu?c l? 1A."	"Vùng Duyên h?i Nam Trung B? thu?c Mi?n Trung Vi?t Nam, v?i thành ph? tr?ng ?i?m và l?n nh?t là thành ph? ?à N?ng. Vùng Duyên h?i Nam Trung B? ti?p giáp ?ông Nam B? ? phía nam thu?n l?i trong giao l?u phát tri?n kinh t? ch?u ?nh h??ng m?nh m? c?a ?ông Nam B? trong quá trình phát tri?n giáp v?i Tây Nguyên và là c?a ngõ ra bi?n c?a Tây Nguyên, Campuchia, Thái Lan, thu?n l?i giao l?u phát tri?n kinh t? và hình thành n?n kinh t? m?. Vùng Duyên h?i Nam Trung B? có v? trí ??a lý kinh t? r?t thu?n l?i, n?m trên các tr?c giao thông ???ng b?, s?t, ???ng hàng không và ???ng bi?n, g?n khu tam giác kinh t? tr?ng ?i?m mi?n ?ông Nam B?; c?a ngõ c?a Tây Nguyên, c?a ???ng xuyên Á ra bi?n n?i v?i ???ng hàng h?i qu?c t?. Theo cách chia Trung B? thành 4 ph?n B?c, Trung, Nam và Tây Nguyên thì Duyên h?i Nam Trung B? g?m 3 t?nh: Khánh Hòa, Ninh Thu?n, Bình Thu?n. Thành ph? ?à N?ng và các t?nh Qu?ng Nam, Qu?ng Ngãi, Bình ??nh, Phú Yên cùng v?i các t?nh Qu?ng Bình, Qu?ng Tr?, Th?a Thiên - Hu? h?p thành vùng (Duyên h?i) Trung Trung B?. Thành ph? trung tâm và l?n nh?t là thành ph? ?à N?ng. Hi?n nay, h?u h?t các ?ô th? v?n tr??c ?ây là th? xã t?nh l? c?a các t?nh trong vùng ??u ?ã tr? thành các thành ph? tr?c thu?c t?nh (ngo?i tr? thành ph? ?à N?ng tr?c thu?c trung ??ng t? ??u n?m 1997). Trong ?ó, t?nh Qu?ng Nam có hai thành ph? là Tam K? và H?i An, t?nh Khánh Hòa có hai thành ph? là Nha Trang và Cam Ranh. "	t?a l?c t?i	Bình ??nh	Duyên h?i Nam Trung B?
binh_dinh	co_dac_san	ruou_bau_da	"Bình ??nh (Hán t?: ??) là m?t t?nh thu?c vùng duyên h?i Nam Trung B? Vi?t Nam. T?nh l? c?a Bình ??nh là thành ph? c?ng Quy Nh?n n?m cách th? ?ô Hà N?i 1.070 km v? phía Nam, cách thành ph? ?à N?ng 233 km v? phía Nam và cách Thành ph? H? Chí Minh 652 km v? phía B?c theo ???ng Qu?c l? 1A."	"Tên g?i c?a r??u là do ???c n?u ch? y?u t? làng Cù Lâm thu?c xã Nh?n L?c, th? xã An Nh?n, t?nh Bình ??nh. Bàu ?á là tên c?a m?t bàu n??c ngày x?a c? làng dùng chung, là ngu?n n??c ?? ch?ng c?t r??u Bàu ?á. Bàu n??c c? này ngày nay (2010) ?ã c?n n??c, ngu?n n??c ch? y?u ?? ? men, c?t r??u bây gi? là t? nh?ng m?ch n??c gi?ng c?a làng."	có ??c s?n	Bình ??nh	R??u b?u ?á
da_nang	toa_lac_tai	duyen_hai_nam_trung_bo	"?à N?ng là m?t thành ph? tr?c thu?c trung ??ng, n?m trong vùng Duyên h?i Nam Trung B? Vi?t Nam, là thành ph? trung tâm và l?n nh?t khu v?c mi?n Trung - Tây Nguyên. Thành ph? ?à N?ng là thành ph? t?ng h?p ?a ngành, ?a l?nh v?c; trung tâm chính tr? - kinh t? - xã h?i v?i vai trò là trung tâm công nghi?p, tài chính, du l?ch, d?ch v?, v?n hóa, giáo d?c - ?ào t?o, y t? ch?t l??ng cao, khoa h?c - công ngh?, kh?i nghi?p, ??i m?i sáng t?o c?a khu v?c Mi?n Trung - Tây Nguyên và c? n??c; trung tâm t? ch?c các s? ki?n t?m khu v?c và qu?c t?. Thành ph? ?à N?ng ?óng vai trò h?t nhân, quan tr?ng trong Vùng kinh t? tr?ng ?i?m mi?n Trung, ??ng th?i c?ng là m?t trong 5 thành ph? tr?c thu?c Trung ??ng ? Vi?t Nam, ?ô th? lo?i I, trung tâm c?p qu?c gia, cùng v?i H?i Phòng và C?n Th?."	"Vùng Duyên h?i Nam Trung B? thu?c Mi?n Trung Vi?t Nam, v?i thành ph? tr?ng ?i?m và l?n nh?t là thành ph? ?à N?ng. Vùng Duyên h?i Nam Trung B? ti?p giáp ?ông Nam B? ? phía nam thu?n l?i trong giao l?u phát tri?n kinh t? ch?u ?nh h??ng m?nh m? c?a ?ông Nam B? trong quá trình phát tri?n giáp v?i Tây Nguyên và là c?a ngõ ra bi?n c?a Tây Nguyên, Campuchia, Thái Lan, thu?n l?i giao l?u phát tri?n kinh t? và hình thành n?n kinh t? m?. Vùng Duyên h?i Nam Trung B? có v? trí ??a lý kinh t? r?t thu?n l?i, n?m trên các tr?c giao thông ???ng b?, s?t, ???ng hàng không và ???ng bi?n, g?n khu tam giác kinh t? tr?ng ?i?m mi?n ?ông Nam B?; c?a ngõ c?a Tây Nguyên, c?a ???ng xuyên Á ra bi?n n?i v?i ???ng hàng h?i qu?c t?. Theo cách chia Trung B? thành 4 ph?n B?c, Trung, Nam và Tây Nguyên thì Duyên h?i Nam Trung B? g?m 3 t?nh: Khánh Hòa, Ninh Thu?n, Bình Thu?n. Thành ph? ?à N?ng và các t?nh Qu?ng Nam, Qu?ng Ngãi, Bình ??nh, Phú Yên cùng v?i các t?nh Qu?ng Bình, Qu?ng Tr?, Th?a Thiên - Hu? h?p thành vùng (Duyên h?i) Trung Trung B?. Thành ph? trung tâm và l?n nh?t là thành ph? ?à N?ng. Hi?n nay, h?u h?t các ?ô th? v?n tr??c ?ây là th? xã t?nh l? c?a các t?nh trong vùng ??u ?ã tr? thành các thành ph? tr?c thu?c t?nh (ngo?i tr? thành ph? ?à N?ng tr?c thu?c trung ??ng t? ??u n?m 1997). Trong ?ó, t?nh Qu?ng Nam có hai thành ph? là Tam K? và H?i An, t?nh Khánh Hòa có hai thành ph? là Nha Trang và Cam Ranh. "	t?a l?c t?i	?à N?ng	Duyên h?i Nam Trung B?
da_nang	co_dac_san	tre_ba_de	"?à N?ng là m?t thành ph? tr?c thu?c trung ??ng, n?m trong vùng Duyên h?i Nam Trung B? Vi?t Nam, là thành ph? trung tâm và l?n nh?t khu v?c mi?n Trung - Tây Nguyên. Thành ph? ?à N?ng là thành ph? t?ng h?p ?a ngành, ?a l?nh v?c; trung tâm chính tr? - kinh t? - xã h?i v?i vai trò là trung tâm công nghi?p, tài chính, du l?ch, d?ch v?, v?n hóa, giáo d?c - ?ào t?o, y t? ch?t l??ng cao, khoa h?c - công ngh?, kh?i nghi?p, ??i m?i sáng t?o c?a khu v?c Mi?n Trung - Tây Nguyên và c? n??c; trung tâm t? ch?c các s? ki?n t?m khu v?c và qu?c t?. Thành ph? ?à N?ng ?óng vai trò h?t nhân, quan tr?ng trong Vùng kinh t? tr?ng ?i?m mi?n Trung, ??ng th?i c?ng là m?t trong 5 thành ph? tr?c thu?c Trung ??ng ? Vi?t Nam, ?ô th? lo?i I, trung tâm c?p qu?c gia, cùng v?i H?i Phòng và C?n Th?."	"Không ph?i ng?u nhiên mà ch? Tré Bà ?? luôn xu?t hi?n trong danh m?c các ??c s?n ?à N?ng ngon nh?t, Tré Bà ?? t? lâu ?ã ???c xem là món ?n ??c s?n ?à N?ng chính th?ng, là th??ng hi?u cho ??c s?n ?à N?ng gi?ng nh? nh?ng món cao l?u ? H?i An."	có ??c s?n	?à N?ng	Tré bà ??
dak_lak	toa_lac_tai	tay_nguyen	"??k L?k hay Darlac là m?t t?nh có di?n tích l?n th? 4 n?m ? trung tâm vùng Tây Nguyên, mi?n Trung Vi?t Nam. Du l?ch ??k L?k ?ang có l?i th? v?i nhi?u ??a danh cho phép khai thác theo h??ng k?t h?p c?nh quan, sinh thái, môi tr??ng và truy?n th?ng v?n hoá c?a nhi?u dân t?c trong t?nh nh? h? L?k, Thác Gia Long, c?m du l?ch Buôn ?ôn, Thác Krông Kmar, Di?u Thanh, Tiên N?… bên c?nh các v??n qu?c gia, khu b?o t?n thiên nhiên Ch? Yang Sin, Easo…"	"Tây Nguyên là khu v?c v?i ??a hình cao nguyên bao g?m các t?nh x?p theo th? t? v? trí ??a lý t? phía B?c xu?ng Nam g?m Kon Tum, Gia Lai, ??k L?k, ??k Nông và Lâm ??ng. Tây Nguyên là vùng thu?c mi?n Trung Vi?t Nam. Tây Nguyên cùng v?i B?c Trung B? và Nam Trung B? h?p thành mi?n Trung Vi?t Nam."	t?a l?c t?i	??k L?k	Tây Nguyên
dak_lak	co_dac_san	ca_dang	"??k L?k hay Darlac là m?t t?nh có di?n tích l?n th? 4 n?m ? trung tâm vùng Tây Nguyên, mi?n Trung Vi?t Nam. Du l?ch ??k L?k ?ang có l?i th? v?i nhi?u ??a danh cho phép khai thác theo h??ng k?t h?p c?nh quan, sinh thái, môi tr??ng và truy?n th?ng v?n hoá c?a nhi?u dân t?c trong t?nh nh? h? L?k, Thác Gia Long, c?m du l?ch Buôn ?ôn, Thác Krông Kmar, Di?u Thanh, Tiên N?… bên c?nh các v??n qu?c gia, khu b?o t?n thiên nhiên Ch? Yang Sin, Easo…"	"Cà ??ng là lo?i cây quen thu?c mà nhà nào ? ?ây c?ng tr?ng vài cây ?? ?n quanh n?m. ?ây c?ng là món ?n ??c s?n dân giã c?a ??k L?k. Cà có v? ??ng nh?ng không khó ?n mà khi ?n vào l?i th?y giòn giòn, bùi bùi. Cà ??ng có th? ch? bi?n ???c thành nhi?u món nh?: cà xào v?i cá su?i, n?u canh, xào tép khô, kho th?t, mu?i s?i… Khi có d?p ghé n?i ?ây, b?n hãy th? th??ng th?c món dân dã mang ??c tr?ng riêng, không kém ph?n h?p d?n này."	có ??c s?n	??k L?k	Cà ??ng
ha_noi	toa_lac_tai	dong_bang_song_hong	"Hà N?i (ch? Hán: ??) là th? ?ô c?a n??c C?ng hòa Xã h?i ch? ngh?a Vi?t Nam, c?ng là kinh ?ô c?a h?u h?t các v??ng tri?u phong ki?n t?i Vi?t Nam tr??c ?ây. Hà N?i là thành ph? tr?c thu?c trung ??ng và là thành ph? có di?n tích l?n nh?t c? n??c t? khi t?nh Hà Tây sáp nh?p vào. Hà N?i n?m gi?a ??ng b?ng sông H?ng trù phú, n?i ?ây ?ã s?m tr? thành m?t trung tâm chính tr?, kinh t? và v?n hóa ngay t? nh?ng bu?i ??u c?a l?ch s? Vi?t Nam."	"??ng b?ng sông H?ng (hay Châu th? B?c B?) là khu v?c h? l?u sông H?ng và sông Thái Bình thu?c B?c B? Vi?t Nam, vùng ??t bao g?m 10 t?nh thành, trong ?ó có 2 thành ph? tr?c thu?c trung ??ng và 8 t?nh, 11 thành ph? (ngang c?p huy?n) tr?c thu?c t?nh."	t?a l?c t?i	Hà N?i	??ng b?ng sông H?ng
ha_noi	truc_thuoc_trung_uong	dung	"Hà N?i (ch? Hán: ??) là th? ?ô c?a n??c C?ng hòa Xã h?i ch? ngh?a Vi?t Nam, c?ng là kinh ?ô c?a h?u h?t các v??ng tri?u phong ki?n t?i Vi?t Nam tr??c ?ây. Hà N?i là thành ph? tr?c thu?c trung ??ng và là thành ph? có di?n tích l?n nh?t c? n??c t? khi t?nh Hà Tây sáp nh?p vào. Hà N?i n?m gi?a ??ng b?ng sông H?ng trù phú, n?i ?ây ?ã s?m tr? thành m?t trung tâm chính tr?, kinh t? và v?n hóa ngay t? nh?ng bu?i ??u c?a l?ch s? Vi?t Nam."	"?úng là khái ni?m có th? gây tranh cãi. Nhi?u ng??i cho r?ng m?t khái ni?m ?úng tuy?t ??i là không t?n t?i. Ch? có th? nói ??n kh? n?ng ?úng nhi?u hay ít. ??nh ngh?a m?t cái gì ??y ?úng, có th? d?a vào ?a s? ng??i ?ng h?."	tr?c thu?c trung ??ng	Hà N?i	?úng
